pop,3
love,3
indie,3
awesome,3
favorite,3
acoustic,3
dance,2
fav,2
rock,2
alternative,2
alternative rock,2
pop rock,2
90s,2
american,2
favorites,2
easy listening,2
soft rock,2
adult alternative,2
male vocalists,2
mellow,2
modern rock,2
male vocalist,2
alt rock,2
indie rock,2
good,2
relax,2
chill,2
depressing,2
favourites,2
top 40,2
my soundtrack,2
seen live,2
epic,2
classic rock,2
grunge,2
favorite songs,2
usa,2
romantic,2
guitar,2
oldies,2
great,2
hard rock,2
2018,1
electronic,1
workout,1
personal favourites,1
pepp,1
future bass,1
matchbox twenty,1
00s,1
rob thomas,1
twilight,1
matchbox 20,1
sad,1
unwell,1
calm,1
melancholy,1
relaxing,1
cool,1
2002,1
loved,1
post-grunge,1
good song,1
new moon,1
nice,1
pop-rock,1
good lyrics,1
easy,1
describes me,1
smooth rock,1
makes me feel happy,1
favorite lyrics,1
songs for life,1
my fave tracks,1
fun,1
hits,1
greatest hits,1
favourite artists,1
good music,1
sing-along,1
mental illness,1
male bands,1
herzschmerz,1
hitch24soab,1
matchbox twenty - unwell,1
circleoffriends,1
indie pop,1
singer-songwriter,1
atmospheric,1
smooth,1
new,1
favourite,1
great lyrics,1
poppy,1
this could make me cry,1
soundtrack,1
male,1
punk,1
emo,1
adult contemporary,1
crazy,1
like,1
soft,1
emotional,1
melancholic,1
great song,1
depression,1
love at first listen,1
heavy metal,1
metal,1
iron maiden,1
nwobhm,1
progressive metal,1
new wave of british heavy metal,1
british metal,1
goo goo dolls,1
nostalgia,1
slide,1
happy,1
love songs,1
beautiful,1
1998,1
chillout,1
90s pop,1
memories,1
nostalgic,1
uplifting,1
feelgood,1
good mood,1
songs that mean something to me,1
goo goo dolls slide,1
feel good,1
upbeat,1
summer,1
amazing,1
high school,1
male vocals,1
good stuff,1
1999,1
90s rock,1
the hits of the 90s,1
goo goo dolls - slide,1
nineties,1
alternative pop,1
gute laune,1
fave,1
1990s,1
acoustic guitar,1
rockin,1
top artists,1
abortion,1
grew up on,1
vh-1,1
power pop,1
catchy,1
college rock,1
driving,1
1,1
guilty pleasure,1
acoustic rock,1
90's,1
ballad,1
uptempo,1
sweet,1
work,1
favs,1
beautiful melodies,1
playlist,1
feel-good,1
songs i absolutely love,1
90s alternative,1
my 90s,1
goo,1
my top tracks,1
goo goo dols,1
the best rock ever,1
piano,1
heart,1
awesomesong,1
he is we,1
hakajs,1
jsnsjsj,1
ksksjsks,1
sjsnsjsbajkashs,1
roxe karvell,1
