Track,Artist,Album,AddedDate
"Shape of You (Major Lazer Remix) [feat. Nyla & Kranium]","Ed Sheeran Kranium Nyla Major Lazer ","Shape of You (Major Lazer Remix) [feat. Nyla & Kranium]","2018-03-29T15:35:54Z"
"Suit And Jacket","Judah & the Lion ","Suit And Jacket","2018-03-29T15:35:54Z"
"Machine","MisterWives ","Machine","2018-03-29T15:35:54Z"
"Little Boy","Barns Courtney ","The Dull Drums - EP","2018-03-29T15:35:54Z"
"Middle Fingers","MISSIO ","Middle Fingers","2018-03-29T15:35:54Z"
"Icarus","Bastille ","All This Bad Blood","2018-03-29T15:35:54Z"
"Keep Your Eyes Open","NEEDTOBREATHE ","The Reckoning","2018-03-29T15:35:54Z"
"Smokin' Gun","Brantley Gilbert ","The Devil Don't Sleep","2018-03-29T15:35:54Z"
"Rockin' Chairs","Brantley Gilbert ","The Devil Don't Sleep","2018-03-29T15:35:54Z"
"Breathe (2 AM)","Anna Nalick ","Wreck of the Day","2018-03-29T15:35:54Z"
"Mad Love","Bush ","Mad Love","2018-03-29T15:35:54Z"
"Scared to Be Lonely","Martin Garrix Dua Lipa ","Scared to Be Lonely","2018-03-29T15:35:54Z"
"Around U","MUNA ","About U","2018-03-29T15:35:54Z"
"Believer","Imagine Dragons ","Believer","2018-03-29T15:35:54Z"
"Lions","Skip Marley ","Lions","2018-03-29T15:35:54Z"
"Right Here","Staind ","The Singles","2018-03-29T15:35:54Z"
"Believe","Mumford & Sons ","Wilder Mind","2018-03-29T15:35:54Z"
"Skin","Rag'n'Bone Man ","Skin","2018-03-29T15:35:54Z"
"How to Save a Life","The Fray ","How To Save A Life","2018-03-29T15:35:54Z"
"Push","Matchbox Twenty ","Yourself Or Someone Like You","2018-03-29T15:35:54Z"
"Wolves and the Water","Edward R. ","Wolves and the Water","2018-03-29T15:35:54Z"
"Show You Off","Jason Aldean ","Old Boots, New Dirt","2018-03-29T15:35:54Z"
"Memories Are Made Of","Luke Combs ","This One's for You - EP","2018-03-29T15:35:54Z"
"On + Off","Maggie Rogers ","On + Off","2018-03-29T15:35:54Z"
"Gemini Feed","Banks ","The Altar","2018-03-29T15:35:54Z"
"All At Once","The Fray ","Through the Years: The Best of The Fray","2018-03-29T15:35:54Z"
"How To Save A Life","The Fray ","Through the Years: The Best of The Fray","2018-03-29T15:35:54Z"
"American Country Love Song","Jake Owen ","American Love","2018-03-29T15:35:54Z"
"Climb Up To My Window","Jason Lancaster ","As You Are","2018-03-29T15:35:54Z"
"Paris","The Chainsmokers ","Paris","2018-03-29T15:35:54Z"
"Any Ol' Barstool","Jason Aldean ","They Don't Know","2018-03-29T15:35:54Z"
"Upgraded - Single off new EP","J-Wright Nina Jeanne ","Upgraded","2018-03-29T15:35:54Z"
"Where I'm At","J-Wright ","Where I'm At","2018-03-29T15:35:54Z"
"Black Honey","Thrice ","To Be Everywhere Is To Be Nowhere","2018-03-29T15:35:54Z"
"Worlds on Fire","Zerbin ","Darling","2018-03-29T15:35:54Z"
"If Only","Ships Have Sailed ","Moodswings","2018-03-29T15:35:54Z"
"Till It's Gone","Yelawolf ","Love Story","2018-03-29T15:35:54Z"
"Congratulations","Post Malone Quavo ","Stoney (Deluxe)","2018-03-29T15:35:54Z"
"A Little More","Machine Gun Kelly Victoria Monet ","General Admission","2018-03-29T15:35:54Z"
"Now and Later","Sage The Gemini ","Now and Later","2018-03-29T15:35:54Z"
"We Went","Randy Houser ","We Went","2018-03-29T15:35:54Z"
"Over and Over - RedOne and T.I. Jakke Remix","The Goo Goo Dolls RedOne T.I. Jakke ","Over and Over (RedOne and T.I. Jakke Remix)","2018-03-29T15:35:54Z"
"Never Be Like You (feat. Kai)","Flume Kai ","Skin","2018-03-29T15:35:54Z"
"The Adventures Of Rain Dance Maggie","Red Hot Chili Peppers ","I'm With You","2018-03-29T15:35:54Z"
"Baby Just Hold On","Royal Bliss ","Baby Just Hold On","2018-03-29T15:35:54Z"
"My Body","Young the Giant ","Young the Giant","2018-03-29T15:35:54Z"
"Welcome To Your Life","Grouplove ","Big Mess","2018-03-29T15:35:54Z"
"Waste A Moment","Kings of Leon ","Waste A Moment","2018-03-29T15:35:54Z"
"King","SAINT PHNX ","King","2018-03-29T15:35:54Z"
"Walking In My Sleep","Andrew McMahon in the Wilderness ","Walking In My Sleep","2018-03-29T15:35:54Z"
"WD-40","Muscadine Bloodline ","WD-40","2018-03-29T15:35:54Z"
"Raised In The Wild","1 AMVRKA ","Raised In The Wild","2018-03-29T15:35:54Z"
"Landslide","Vicetone Youngblood Hawke ","Landslide","2018-03-29T15:35:54Z"
"Just Hold On","Steve Aoki Louis Tomlinson ","Just Hold On","2018-03-29T15:35:54Z"
"Hurricane","Luke Combs ","This One's for You - EP","2018-03-29T15:35:54Z"
"Flame","Sundara Karma ","Flame","2018-03-29T15:35:54Z"
"Little Bit of You","Chase Bryant ","Chase Bryant","2018-03-29T15:35:54Z"
"Bartholomew","The Silent Comedy ","Common Faults (Remastered Deluxe Edition)","2018-03-29T15:35:54Z"
"On Hold","The xx ","On Hold","2018-03-29T15:35:54Z"
"Lisztomania","Phoenix ","Wolfgang Amadeus Phoenix","2018-03-29T15:35:54Z"
"Such Small Scenes","Lewis Del Mar ","Lewis Del Mar","2018-03-29T15:35:54Z"
"Wolves","Rag'n'Bone Man Stig Of The Dump ","Wolves","2018-03-29T15:35:54Z"
"Traumatized","Grouplove ","Big Mess","2018-03-29T15:35:54Z"
"Human","Rag'n'Bone Man ","Human","2018-03-29T15:35:54Z"
"Still Breathing","Green Day ","Revolution Radio","2018-03-29T15:35:54Z"
"Unbelievers","Vampire Weekend ","Modern Vampires of the City","2018-03-29T15:35:54Z"
"Obvious Bicycle","Vampire Weekend ","Modern Vampires of the City","2018-03-29T15:35:54Z"
"Found","Cinders ","Cinders","2018-03-29T15:35:54Z"
"Chicago","Highly Suspect ","The Boy Who Died Wolf","2018-03-29T15:35:54Z"
"Leave A Trace","CHVRCHES ","Every Open Eye","2018-03-29T15:35:54Z"
"Boom Boom Boom","The Outhere Brothers ","Taste of Chicago House","2018-03-29T15:35:54Z"
"Six Degrees of Separation","Miranda Lambert ","The Weight of These Wings","2018-03-29T15:35:54Z"
"Ugly Lights","Miranda Lambert ","The Weight of These Wings","2018-03-29T15:35:54Z"
"Don't Let Me Down","The Chainsmokers Daya ","Collage EP","2018-03-29T15:35:54Z"
"Inside Out","The Chainsmokers Charlee ","Collage EP","2018-03-29T15:35:54Z"
"Black Beatles","Rae Sremmurd Gucci Mane ","SremmLife 2 (Deluxe)","2018-03-29T15:35:54Z"
"Wanna Be That Song","Brett Eldredge ","Illinois","2018-03-29T15:35:54Z"
"Hurricane","Luke Combs ","This One's for You","2018-03-29T15:35:54Z"
"Sleep Without You","Brett Young ","Brett Young EP","2018-03-29T15:35:54Z"
"Middle of a Memory","Cole Swindell ","You Should Be Here","2018-03-29T15:35:54Z"
"Everybody We Know Does","Chase Rice ","Everybody We Know Does","2018-03-29T15:35:54Z"
"ECHO (LET GO)","Breathe Carolina IZII ","ECHO (LET GO)","2018-03-29T15:35:54Z"
"Touching You Again","Hot Shade Mike Perry Jane XØ ","Touching You Again","2018-03-29T15:35:54Z"
"Let Me Love You - Tiësto's AFTR:HRS Mix","DJ Snake Tiësto Justin Bieber ","Let Me Love You (Tiësto's AFTR:HRS Mix)","2018-03-29T15:35:54Z"
"Shed a Light","Robin Schulz David Guetta Cheat Codes ","Shed A Light","2018-03-29T15:35:54Z"
"Forever Now (Say Yes)","Kristian Bush ","Forever Now (Say Yes)","2018-03-29T15:35:54Z"
"Palm Trees","SWMRS ","Drive North","2018-03-29T15:35:54Z"
"Wherever You Go","The Treble ","Wherever You Go","2018-03-29T15:35:54Z"
"Idfc","Blackbear ","Dead","2018-03-29T15:35:54Z"
"You Don't Get Me High Anymore","Three Days Grace ","You Don't Get Me High Anymore","2018-03-29T15:35:54Z"
"Love on the Weekend","John Mayer ","Love on the Weekend","2018-03-29T15:35:54Z"
"Bad Blood","Bastille ","All This Bad Blood","2018-03-29T15:35:54Z"
"Tonight","Ryan Kinder ","Tonight","2018-03-29T15:35:54Z"
"I Can't Stop Thinking About You","Sting ","57TH & 9TH (Deluxe)","2018-03-29T15:35:54Z"
"Ride Away","Opposite the Other ","Ride Away","2018-03-29T15:35:54Z"
"Blame","Bastille ","Wild World (Complete Edition)","2018-03-29T15:35:54Z"
"Sweet Disaster","DREAMERS ","Sweet Disaster","2018-03-29T15:35:54Z"
"It's on You","Matt Gary ","It's on You","2018-03-29T15:35:54Z"
"Excited Eyes","The Notionaries ","Excited Eyes","2018-03-29T15:35:54Z"
"Close","Ryan Kinder ","Close","2018-03-29T15:35:54Z"
"Gravity","Timeflies ","Gravity","2018-03-29T15:35:54Z"
"Talk to Me","Run The Jewels ","Talk to Me","2018-03-29T15:35:54Z"
"Big Spender (feat. Troof)","C tha Future Troof ","Get Well Soon","2018-03-29T15:35:54Z"
"The Reason","Hoobastank ","The Reason","2018-03-29T15:35:54Z"
"Methadone","Rise Against ","The Black Market","2018-03-29T15:35:54Z"
"Raging Fire","Phillip Phillips ","Raging Fire","2018-03-29T15:35:54Z"
"She Ain't You","New Hollow ","She Ain't You","2018-03-29T15:35:54Z"
"Home","Dotan ","Home","2018-03-29T15:35:54Z"
"Never Come Back Again","Austin Plaine ","Austin Plaine","2018-03-29T15:35:54Z"
"White Flag","Joseph ","White Flag","2018-03-29T15:35:54Z"
"All Time Low","Jon Bellion ","The Human Condition","2018-03-29T15:35:54Z"
"City Girl","Ryan Hurd ","City Girl","2018-03-29T15:35:54Z"
"Moving Forward","Colony House ","When I Was Younger","2018-03-29T15:35:54Z"
"Recover","Eli Young Band ","Life At Best","2018-03-29T15:35:54Z"
"Dust","Eli Young Band ","10,000 Towns","2018-03-29T15:35:54Z"
"Drunk Last Night","Eli Young Band ","10,000 Towns","2018-03-29T15:35:54Z"
"Saltwater Gospel","Eli Young Band ","Saltwater Gospel","2018-03-29T15:35:54Z"
"Even If It Breaks Your Heart","Eli Young Band ","Life At Best","2018-03-29T15:35:54Z"
"This World Is Yours","Adam Martin ","This World Is Yours","2018-03-29T15:35:54Z"
"Good News","Ocean Park Standoff ","Good News","2018-03-29T15:35:54Z"
"Wake Up Where You Are","State of Sound ","Wake Up Where You Are","2018-03-29T15:35:54Z"
"Tonight Looks Good on You","Jason Aldean ","Old Boots, New Dirt","2018-03-29T15:35:54Z"
"Just Gettin' Started","Jason Aldean ","Old Boots, New Dirt","2018-03-29T15:35:54Z"
"Sweet Little Somethin'","Jason Aldean ","Old Boots, New Dirt","2018-03-29T15:35:54Z"
"I See You","Luke Bryan ","Crash My Party","2018-03-29T15:35:54Z"
"Sure and Certain","Jimmy Eat World ","Sure and Certain","2018-03-29T15:35:54Z"
"Hard To Love","Lee Brice ","Hard 2 Love","2018-03-29T15:35:54Z"
"Record Year","Eric Church ","Mr. Misunderstood","2018-03-29T15:35:54Z"
"Fucked up Summer","Lukr ","Fucked up Summer","2018-03-29T15:35:54Z"
"Cahuenga Blvd","Matt McAndrew ","Rush in Slowly","2018-03-29T15:35:54Z"
"Close Your Eyes","Parmalee ","Feels Like Carolina","2018-03-29T15:35:54Z"
"Long Hot Summer","Keith Urban ","Get Closer (Deluxe Version)","2018-03-29T15:35:54Z"
"Razor Blade","Luke Bryan ","Kill The Lights (Deluxe)","2018-03-29T15:35:54Z"
"A Little More Summertime","Jason Aldean ","A Little More Summertime","2018-03-29T15:35:56Z"
"Burnin' It Down","Jason Aldean ","Old Boots, New Dirt","2018-03-29T15:35:56Z"
"Drunk On Your Love","Brett Eldredge ","Illinois","2018-03-29T15:35:56Z"
"I Hold On","Dierks Bentley ","I Hold On","2018-03-29T15:35:56Z"
"Livin' The Dream","Drake White ","Spark","2018-03-29T15:35:56Z"
"Cardiac Arrest (WoodysProduce Remix)","Bad Suns ","Cardiac Arrest (WoodysProduce Remix)","2018-03-29T15:35:56Z"
"Stay Here","My Brothers And I ","Don't Dream Alone","2018-03-29T15:35:56Z"
"Sharks In The Swimming Pool","Clairity ","Sharks In The Swimming Pool","2018-03-29T15:35:56Z"
"Chasing Down a Good Time","Randy Houser ","Fired Up","2018-03-29T15:35:56Z"
"Southern Boy (with Jason Aldean)","Jordan Rager Jason Aldean ","Southern Boy (with Jason Aldean)","2018-03-29T15:35:56Z"
"Still Breathing","Green Day ","Still Breathing","2018-03-29T15:35:56Z"
"Closer - Shaun Frank Remix","The Chainsmokers Halsey Shaun Frank ","Closer (Remixes)","2018-03-29T15:35:56Z"
"(It's Gonna Be) Okay","The Piano Guys ","(It's Gonna Be) Okay","2018-03-29T15:35:56Z"
"We Don't Know","The Strumbellas ","Hope","2018-03-29T15:35:56Z"
"Think of You","Chris Young Cassadee Pope ","I'm Comin' Over","2018-03-29T15:35:56Z"
"I'm Comin' Over","Chris Young ","I'm Comin' Over","2018-03-29T15:35:56Z"
"John Cougar John Deere John 3:16","Dave Days ","John Cougar John Deere John 3:16","2018-03-29T15:35:56Z"
"What Hurts The Most","Rascal Flatts ","Me And My Gang","2018-03-29T15:35:56Z"
"Castaway - Acoustic","Trapt ","DNA","2018-03-29T15:35:56Z"
"Bored To Death - Steve Aoki Remix","blink-182 Steve Aoki ","Bored To Death (Steve Aoki Remix)","2018-03-29T15:35:56Z"
"Lovin' Lately","Big & Rich Tim McGraw ","Gravity","2018-03-29T15:35:56Z"
"Closer","Walk Off the Earth ","Closer","2018-03-29T15:35:56Z"
"Songs I Can't Listen To","Neon Trees ","Songs I Can't Listen To","2018-03-29T15:35:56Z"
"Hello","Dayseeker ","Origin (Deluxe Edition)","2018-03-29T15:35:56Z"
"What I Love About You","Logan Mize ","Pawn Shop Guitar - EP","2018-03-29T15:35:56Z"
"Back to the Bottom","Port Cities ","Back to the Bottom","2018-03-29T15:35:56Z"
"Waking Up The Giants","Grizfolk ","Waking Up The Giants","2018-03-29T15:35:56Z"
"Helpless","Emarosa ","131","2018-03-29T15:35:56Z"
"Send Them Off!","Bastille ","Send Them Off!","2018-03-29T15:35:56Z"
"Maybe IDK","Jon Bellion ","The Human Condition","2018-03-29T15:35:56Z"
"Oh My Goodness","Anthony D'Amato ","Cold Snap","2018-03-29T15:35:56Z"
"My Wish - 10th Anniversary","Rascal Flatts ","My Wish (10th Anniversary)","2018-03-29T15:35:56Z"
"If I Told You","Darius Rucker ","If I Told You","2018-03-29T15:35:56Z"
"Gone","Afrojack Ty Dolla $ign ","Gone","2018-03-29T15:35:56Z"
"Pale Paper","Fences ","Pale Paper","2018-03-29T15:35:56Z"
"Crash And Burn","Thomas Rhett ","Crash And Burn","2018-03-29T15:35:56Z"
"I'm Comin' Over","Chris Young ","I'm Comin' Over","2018-03-29T15:35:56Z"
"Painting (Masterpiece)","Lewis Del Mar ","Painting (Masterpiece)","2018-03-29T15:35:56Z"
"American Money","BØRNS ","Dopamine","2018-03-29T15:35:56Z"
"Critical Mistakes","888 ","Critical Mistakes","2018-03-29T15:35:56Z"
"Soar","Tedy ","Soar","2018-03-29T15:35:56Z"
"Learned It From The Radio","Thomas Rhett ","Tangled Up","2018-03-29T15:35:56Z"
"Wake Me Up","Billy Currington ","Summer Forever","2018-03-29T15:35:56Z"
"Unsteady - Boehm Remix","X Ambassadors Boehm ","Unsteady (Boehm Remix)","2018-03-29T15:35:56Z"
"Cop vs. Phone Girl","Third Eye Blind ","Cop vs. Phone Girl","2018-03-29T15:35:56Z"
"Fake It","Bastille ","Fake It","2018-03-29T15:35:56Z"
"Bury It - Keys N Krates Remix","CHVRCHES Hayley Williams Keys N Krates ","Bury It (Keys N Krates Remix)","2018-03-29T15:35:56Z"
"Life Afraid","Set It Off ","Life Afraid","2018-03-29T15:35:56Z"
"I Like The Sound Of That","Rascal Flatts ","Rewind","2018-03-29T15:35:56Z"
"Song for Another Time","Old Dominion ","Meat and Candy","2018-03-29T15:35:56Z"
"Habits","Steven Cooper ","Habits","2018-03-29T15:35:56Z"
"Rollin' In and Rockin' Out","Jon Langston ","Jon Langston - EP","2018-03-29T15:35:56Z"
"I Love This Life","LOCASH ","The Fighters","2018-03-29T15:35:56Z"
"Closer","The Chainsmokers Halsey ","Closer","2018-03-29T15:35:56Z"
"Already Callin' You Mine","Parmalee ","Feels Like Carolina","2018-03-29T15:35:56Z"
"Fix","Chris Lane ","Fix","2018-03-29T15:35:56Z"
"Where It's At","Dustin Lynch ","Where It's At","2018-03-29T15:35:56Z"
"Swing Life Away","Rise Against ","Siren Song Of The Counter-Culture","2018-03-29T15:35:56Z"
"Apologize","OneRepublic ","Dreaming Out Loud (International Version)","2018-03-29T15:35:56Z"
"Sugar, We're Goin Down","Fall Out Boy ","From Under The Cork Tree","2018-03-29T15:35:56Z"
"Things We Lost In The Fire","Bastille ","All This Bad Blood","2018-03-29T15:35:56Z"
"Pompeii","Bastille ","All This Bad Blood","2018-03-29T15:35:56Z"
"All Too Familiar","PROSE ","Home Of The Brave (Deluxe)","2018-03-29T15:35:56Z"
"All Too Familiar","PROSE ","All Too Familiar","2018-03-29T15:35:56Z"
"sex","EDEN ","sex","2018-03-29T15:35:56Z"
"drugs","EDEN ","drugs","2018-03-29T15:35:56Z"
"Tongue Tied July","Michael Brun Roy English ","Tongue Tied July","2018-03-29T15:35:56Z"
"Hurricane","Luke Combs ","Hurricane","2018-03-29T15:35:56Z"
"Where The Hood At","DMX ","The Best Of DMX","2018-03-29T15:35:56Z"
"Follow My Feet","The Unlikely Candidates ","Follow My Feet EP","2018-03-29T15:35:56Z"
"We Could Be","The Hunna ","We Could Be","2018-03-29T15:35:56Z"
"Not a One","The Young Wild ","All the Luck","2018-03-29T15:35:56Z"
"Silver","RKDN ","Silver","2018-03-29T15:35:56Z"
"There Will Be Time","Mumford & Sons Baaba Maal ","There Will Be Time","2018-03-29T15:35:56Z"
"Go Big Or Go Home","American Authors ","What We Live For","2018-03-29T15:35:56Z"
"Pride","American Authors ","What We Live For","2018-03-29T15:35:56Z"
"Welcome To Your Life","Grouplove ","Welcome To Your Life","2018-03-29T15:35:56Z"
"Re-arrange","Biffy Clyro ","Ellipsis","2018-03-29T15:35:56Z"
"What We Live For","American Authors ","What We Live For","2018-03-29T15:35:56Z"
"Only Love","Ben Howard ","Every Kingdom","2018-03-29T15:35:56Z"
"Knuckles","Moose Blood ","Knuckles","2018-03-29T15:35:56Z"
"We Do","LANCO ","LANco","2018-03-29T15:35:56Z"
"We Do","LANCO ","LANCO - EP","2018-03-29T15:35:56Z"
"Favorite Liar","The Wrecks ","We Are the Wrecks","2018-03-29T15:35:56Z"
"Slide","The Goo Goo Dolls ","Greatest Hits Volume One - The Singles","2018-03-29T15:35:56Z"
"Alaska","Maggie Rogers ","Alaska","2018-03-29T15:35:56Z"
"I Want You to Know","Atlas Road Crew ","Halfway to Hopkins","2018-03-29T15:35:56Z"
"Let's Run Away","Matt and Kim ","WE WERE THE WEIRDOS","2018-03-29T15:35:56Z"
"Drink to That All Night","Jerrod Niemann ","High Noon","2018-03-29T15:35:56Z"
"Make You Miss Me","Sam Hunt ","Montevallo","2018-03-29T15:35:56Z"
"Cynical","blink-182 ","California","2018-03-29T15:35:56Z"
"Anything Goes","Florida Georgia Line ","Anything Goes","2018-03-29T15:35:56Z"
"Sippin’ On Fire","Florida Georgia Line ","Anything Goes","2018-03-29T15:35:56Z"
"Good Good","Florida Georgia Line ","Anything Goes","2018-03-29T15:35:56Z"
"Round Here","Florida Georgia Line ","Here's To The Good Times...This Is How We Roll","2018-03-29T15:35:56Z"
"H.O.L.Y.","Florida Georgia Line ","H.O.L.Y.","2018-03-29T15:35:56Z"
"Ride","Twenty One Pilots ","Blurryface","2018-03-29T15:35:56Z"
"American Country Love Song","Jake Owen ","American Country Love Song","2018-03-29T15:35:56Z"
"Unwell","Matchbox Twenty ","More Than You Think You Are","2018-03-29T15:35:56Z"
"Dead Century","Wildlife ","Dead Century","2018-03-29T15:35:56Z"
"OctaHate","Ryn Weaver ","The Fool","2018-03-29T15:35:56Z"
"Heart In Two","Reuben And The Dark ","Heart In Two","2018-03-29T15:35:56Z"
"Lean On","Openside ","Lean On","2018-03-29T15:35:56Z"
"Giants","Matt Nathanson ","Show Me Your Fangs","2018-03-29T15:35:56Z"
"Pierre","Ryn Weaver ","The Fool","2018-03-29T15:35:56Z"
"No Future","blink-182 ","No Future","2018-03-29T15:35:56Z"
"Without Me","Eminem ","Suicide Squad: The Album","2018-03-29T15:35:56Z"
"Bohemian Rhapsody","Panic! At The Disco ","Suicide Squad: The Album","2018-03-29T15:35:56Z"
"11 Blocks","Wrabel ","11 Blocks","2018-03-29T15:35:56Z"
"Bonfire","The Hunna ","Bonfire","2018-03-29T15:35:56Z"
"Drive","Glades ","Drive","2018-03-29T15:35:56Z"
"Oxygen","Catfish and the Bottlemen ","The Ride","2018-03-29T15:35:56Z"
"Airplanes (feat. Hayley Williams of Paramore)","B.o.B Hayley Williams ","B.o.B Presents: The Adventures of Bobby Ray","2018-03-29T15:35:56Z"
"Heathens","Twenty One Pilots ","Heathens","2018-03-29T15:35:56Z"
"Goodbye Angels","Red Hot Chili Peppers ","The Getaway","2018-03-29T15:35:56Z"
"Last Time","Youngblood Hawke ","Wake Up","2018-03-29T15:35:56Z"
"Troublemaker","Grizfolk ","Troublemaker","2018-03-29T15:35:56Z"
"BKCBD","The Blancos ","BKCBD","2018-03-29T15:35:56Z"
"Watercolors","machineheart ","In Your Dreams","2018-03-29T15:35:56Z"
"Blue Blue Blue","Mike Slap ","Blue Blue Blue","2018-03-29T15:35:56Z"
"Burn It Down","Fitz and The Tantrums ","Fitz and The Tantrums","2018-03-29T15:35:56Z"
"Fall","Palisades ","Fall","2018-03-29T15:35:56Z"
"Bottoms Up","Brantley Gilbert ","Just As I Am (Platinum Edition)","2018-03-29T15:35:56Z"
"Soundcheck","Catfish and the Bottlemen ","Soundcheck","2018-03-29T15:35:56Z"
"All We Ever Knew","The Head and the Heart ","All We Ever Knew","2018-03-29T15:35:56Z"
"Long Live Tonight","LANCO ","LANCO - EP","2018-03-29T15:35:56Z"
"29","Run River North ","Drinking from a Salt Pond","2018-03-29T15:35:56Z"
"Sound of Change","Dirty Heads ","Sound of Change","2018-03-29T15:35:56Z"
"25 To Life","Eminem ","Recovery","2018-03-29T15:35:56Z"
"Roll Up","Fitz and The Tantrums ","Roll Up","2018-03-29T15:35:56Z"
"Live While I Breathe","The Moth & The Flame ","Young & Unafraid EP","2018-03-29T15:35:56Z"
"Nerve","DON BROCO ","Automatic (Deluxe)","2018-03-29T15:35:56Z"
"Sincerely","Stephen ","Sincerely","2018-03-29T15:35:56Z"
"Modern Love","Apollo LTD ","EP","2018-03-29T15:35:56Z"
"Fever","Royal Tusk ","DealBreaker","2018-03-29T15:35:56Z"
"Still Got Blood","The Hunna ","Still Got Blood","2018-03-29T15:35:56Z"
"Don't You Cry For Me","Cobi ","Don't You Cry For Me","2018-03-29T15:35:56Z"
"Undercover Martyn","Two Door Cinema Club ","Tourist History","2018-03-29T15:35:56Z"
"Anna Sun","WALK THE MOON ","Walk The Moon","2018-03-29T15:35:56Z"
"Icarus","Bastille ","All This Bad Blood","2018-03-29T15:35:56Z"
"You Haunt Me - SoySauce Edition","Sir Sly ","You Haunt Me (Remixes)","2018-03-29T15:35:56Z"
"Hurt Me (2015)","Låpsley ","Hurt Me","2018-03-29T15:35:56Z"
"Time Will Tell","Lincoln Jesser Samuel Jacob ","Time Will Tell","2018-03-29T15:35:56Z"
"Solemn Oath","Band of Horses ","Solemn Oath","2018-03-29T15:35:56Z"
"Once in a While","Timeflies ","Once in a While","2018-03-29T15:35:56Z"
"Fallout","Catfish and the Bottlemen ","The Balcony","2018-03-29T15:35:56Z"
"The Woman","Bo Baskoro ","The Woman","2018-03-29T15:35:57Z"
"Moneygrabber","Fitz and The Tantrums ","Pickin' up the Pieces","2018-03-29T15:35:57Z"
"Another You","Armin van Buuren Mr. Probz ","Another You","2018-03-29T15:35:57Z"
"Not Afraid","Eminem ","Recovery","2018-03-29T15:35:57Z"
"X Gon' Give It To Ya","DMX ","The Best Of DMX","2018-03-29T15:35:57Z"
"This Is What You Came For","Calvin Harris Rihanna ","This Is What You Came For","2018-03-29T15:35:57Z"
"'Till I Collapse","Eminem Nate Dogg ","The Eminem Show (Explicit Version)","2018-03-29T15:35:57Z"
"Until The World Goes Cold","Trivium ","Silence In The Snow (Special Edition)","2018-03-29T15:35:57Z"
"Back 2 U","Steve Aoki Boehm WALK THE MOON ","Back 2 U","2018-03-29T15:35:57Z"
"Couldn't Believe","Broods ","Couldn't Believe","2018-03-29T15:35:57Z"
"Little Games","The Colourist ","The Colourist","2018-03-29T15:35:57Z"
"We Still In This Bitch (feat. T.I. and Juicy J)","B.o.B Juicy J T.I. ","We Still In This Bitch (feat. T.I.and Juicy J)","2018-03-29T15:35:57Z"
"Raging","Kygo Kodaline ","Cloud Nine","2018-03-29T15:35:57Z"
"Ghost - Lost Kings Remix","Halsey Lost Kings ","Room 93: The Remixes","2018-03-29T15:35:57Z"
"POWER","Kanye West ","My Beautiful Dark Twisted Fantasy","2018-03-29T15:35:57Z"
"Careless","Vacation Manor ","Careless","2018-03-29T15:35:57Z"
"Surrender","ISLE ","Surrender","2018-03-29T15:35:57Z"
"Choke","King Charles ","Gamble for a Rose","2018-03-29T15:35:57Z"
"Freakin' Me Out","The Mowgli's ","Freakin' Me Out","2018-03-29T15:35:57Z"
"Fall Together","The Temper Trap ","Fall Together","2018-03-29T15:35:57Z"
"Pretty Things","Adam Friedman ","Pretty Things","2018-03-29T15:35:57Z"
"We Don't Have To Dance","Andy Black ","We Don't Have To Dance","2018-03-29T15:35:57Z"
"What We Live For","American Authors ","What We Live For","2018-03-29T15:35:57Z"
"You and I","Pvris ","You and I","2018-03-29T15:35:57Z"
"Just Like Fire (From the Original Motion Picture "Alice Through The Looking Glass")","P!nk ","Just Like Fire (From the Original Motion Picture "Alice Through The Looking Glass")","2018-03-29T15:35:57Z"
"Imperfect Me","Boyce Avenue ","Road Less Traveled","2018-03-29T15:35:57Z"
"Amerika","Young the Giant ","Amerika","2018-03-29T15:35:57Z"
"Overnight","The Wild Feathers ","Lonely Is A Lifetime","2018-03-29T15:35:57Z"
"Crash (feat. Pell)","Skizzy Mars Pell ","Alone Together","2018-03-29T15:35:57Z"
"Ophelia","The Lumineers ","Cleopatra (Deluxe)","2018-03-29T15:35:57Z"
"Cleopatra","The Lumineers ","Cleopatra (Deluxe)","2018-03-29T15:35:57Z"
"You & Me","The Hunna ","You & Me","2018-03-29T15:35:57Z"
"Leather Jacket - Jack Novak & Stravy Remix/Extended Version","Arkells ","Leather Jacket (Jack Novak & Stravy Remix)","2018-03-29T15:35:57Z"
"Happy Home","Lukas Graham ","Lukas Graham","2018-03-29T15:35:57Z"
"Raging","Kygo Kodaline ","Raging","2018-03-29T15:35:57Z"
"LIKE I WOULD","ZAYN ","Mind Of Mine (Deluxe Edition)","2018-03-29T15:35:57Z"
"Bullets in the Wind","Mantaraybryn ","Dark Shapes in the Water","2018-03-29T15:35:57Z"
"Lions","Coasts ","Coasts (Deluxe)","2018-03-29T15:35:57Z"
"Chemical Sweat","Elliot Root ","Thoughts From Yesterday","2018-03-29T15:35:57Z"
"Sweater Weather - The Voice Performance","Taylor Phelan ","Sweater Weather (The Voice Performance)","2018-03-29T15:35:57Z"
"Sail Up The Sun","Dylan Owen ","There's More To Life","2018-03-29T15:35:57Z"
"On And On","The Score ","On And On","2018-03-29T15:35:57Z"
"Lonely With Me","Parachute ","Wide Awake","2018-03-29T15:35:57Z"
"Long Time (feat. Quavo)","Ty Dolla $ign Quavo ","Free TC (Deluxe)","2018-03-29T15:35:57Z"
